Arquivo de Áudio,Transcrição
audio_102.wav,eu e uma Comandante aqui
audio_1020.wav,temos direito
audio_10200.wav,longe da população como lá no primeiro
audio_10201.wav,com uma agenda
audio_10202.wav,aproveita
audio_10203.wav,tentar mudar um pouco a forma de fazer política
audio_10204.wav,o que eu disse lá atrás nós precisamos gerar riqueza
audio_10205.wav,nós tivemos companheiros extraordinários como Djalma Genuíno e meu pastor
audio_10206.wav,Dilma
audio_10207.wav,tenho contato com elas eu me sinto no
audio_10208.wav,borda
audio_10209.wav,faltas essas lutas essas vozes do movimento social
audio_1021.wav,[Erro] Não foi possível transcrever o áudio
audio_10210.wav,deixou de colocar no holerite de pagamento no holerite dos seus funcionários em
audio_10211.wav,colaborador do intercept Brasil itaiguara Ribeiro
audio_10212.wav,nos últimos anos
audio_10214.wav,milhões de
audio_10215.wav,O que ocorre aqui arrecada assim muito pouco no campo
audio_10217.wav,não adianta Imagine
audio_10218.wav,[Erro] Não foi possível transcrever o áudio
audio_1022.wav,eu tô
audio_10220.wav,natural que haja uma disputa pelo legado que o Lula vai deixar
audio_10221.wav,é o seguinte Quais são os seus pontos principais
audio_10222.wav,[Erro] Não foi possível transcrever o áudio
audio_10223.wav,responsabilidade com a brincadeira que se faz qualquer
audio_10224.wav,o centrão quer simplesmente
audio_10225.wav,Primeiro de Janeiro uma vez eleito será
audio_10226.wav,aonde praticamente
audio_10227.wav,taxa de juro era melhor do que a nossa vamos lá vamos continuar
audio_10228.wav,[Erro] Não foi possível transcrever o áudio
audio_10229.wav,com a profissão
audio_1023.wav,aquela viagenzinha oba
audio_10230.wav,tá um pouco do que é o liberalismo porque eles defendem um estado tutor dos
audio_10231.wav,o rabo da minha vida sem essa fase muito foda caralho
audio_10232.wav,conseguiu ganhar 10 salários mínimos outro dia ele está mexendo numa fatia
audio_10233.wav,não vai ter até porque
audio_10234.wav,básicos que a gente vai levar você
audio_10235.wav,armas essas pautas que
audio_10236.wav,alguns movimentos que se dizem né os novos movimentos liberais te liberais mesmo
audio_10237.wav,curso de impedimento docente
audio_10238.wav,homem morto a facadas porque
audio_10239.wav,eu vou agora podia falar um oitavo de tonela
audio_1024.wav,sabe mais intelectuais do livro
audio_10240.wav,contudo para quem nunca
audio_10241.wav,ele teve 57
audio_10242.wav,é parte de uma cultura machista mas naquele mesmo discurso para o meu orgu
audio_10243.wav,encontrar uma explicação do porquê
audio_10244.wav,ouvir o congresso me der um excludente de ilicitude
audio_10245.wav,eta
audio_10246.wav,programa Roda Viva especial nós estamos entrevistando hoje mais um candidato a
audio_10247.wav,rádio peão né nós sabemos
audio_10248.wav,de São Bernardo do Campo
audio_10249.wav,sindicatos em relação àquela época para o de hoje porque você se notabilizou
audio_1025.wav,porque às vezes a gente tá muito impactado
audio_10250.wav,para fazer
audio_10251.wav,horas e nada
audio_10252.wav,surge o tema do Lula você
audio_10253.wav,a peça do veadinho veadinho veadinho E aí na quinta na sexta série eu fui
audio_10254.wav,ele tá preso porque ele é o primeiro lugar nas pesquisas eleitorais
audio_10255.wav,mais conservadora na pauta dos costumes em questões que são importantes que
audio_10256.wav,é o mesmo a forma é diferente mas o conteúdo é
audio_10257.wav,dinheiro da compra de respiradores nada tem contra o meu governo
audio_10258.wav,envelhecer na commedia é muito pior mas o meu maior
audio_10259.wav,Jornal O Estado de São Paulo trouxe uma denúncia de uma dívida
audio_1026.wav,[Erro] Não foi possível transcrever o áudio
audio_10260.wav,maneira também a forma como o PT e vocês
audio_10261.wav,tudo bem eu falei amor mais ou menos ele falou porque ele disse
audio_10262.wav,guarda ou no político que passou tanto tempo do lado de gente que tá condenada por corrupção
audio_10263.wav,a gente pode
audio_10264.wav,pode continuar sendo vítima de uma mão de obra quase que escrava
audio_10265.wav,para doida sim
audio_10266.wav,tudo bem É óbvio né do
audio_10267.wav,mas que maneira inteligente do Senhor me lançar contra a população
audio_10268.wav,da lei dos
audio_10269.wav,dizer o seguinte durante as prévias eleitorais agora de novembro
audio_1027.wav,ele não reage Por que que nós temos hoje nas eleições
audio_10270.wav,para ver menina se eu for te falar isso me
audio_10271.wav,enfim deram um crédito para esses países eu brinquei com
audio_10272.wav,teve ontem que não tinha condição de fazer um boletim então
audio_10273.wav,dizem que se a gente tributar as grandes fortunas brasileiras como os euro
audio_10274.wav,Gaúcho no Mundial de 2018
audio_10275.wav,Qual é o motivo
audio_10276.wav,não sejamos um grande país um país desenvolvido um país com emprego um país
audio_10277.wav,[Erro] Não foi possível transcrever o áudio
audio_10278.wav,mas é
audio_10279.wav,no meu caso da Receita e do Itamaraty são aquelas que cruzam com menos episódios de corrupção
audio_1028.wav,de alguma forma su
audio_10280.wav,tem que ser ridículo não acredito que seja jornalista você você
audio_10281.wav,quem possa trabalhar nesse país que não tem lugar que as pessoas estão trabalhando ainda 50 horas
audio_10282.wav,dias atrás não foi promessa de campanha e nem tão pouco
audio_10283.wav,Brasil de extrema direita com um milhão e quatrocentos mil vo
audio_10284.wav,Max borealis
audio_10285.wav,disse para minha família
audio_10286.wav,em momentos decisivos a vida nacional e só para citar eu sinto o
audio_10287.wav,[Erro] Não foi possível transcrever o áudio
audio_10288.wav,fábrica a estabilidade do membro da CIPA é uma falácia porque
audio_10289.wav,coisa de se reunir em torno da mesa você começou a ter o gosto pela culinária Eu falei uma grande meta que pode acontecer
audio_1029.wav,seja ele direita de esquerda o governo do Lula o sof
audio_10290.wav,perfeito cara diz olha ela estamos em prejuízos Tomazinho vermelho eu falei então perm
audio_10291.wav,que não para
audio_10292.wav,gospel para o Flamengo para o Vasco ele vai na praia
audio_10293.wav,todo mundo tá lembrado disso pois bem
audio_10294.wav,[Erro] Não foi possível transcrever o áudio
audio_10295.wav,deplorável falou não você não você não pode entrar eu quero nada que eu menos e
audio_10296.wav,[Erro] Não foi possível transcrever o áudio
audio_10297.wav,a CLT é a cópia quase que
audio_10298.wav,resultado do São Paulo dizia o seguinte eu fui votado por quanto por 100 200 3
audio_10299.wav,[Erro] Não foi possível transcrever o áudio
audio_103.wav,dia da constituição será conservadora
audio_1030.wav,[Erro] Não foi possível transcrever o áudio
audio_10300.wav,o que o tempo sofreu durante a campanha dele as prévias eu já vinha sofrendo há três anos
audio_10301.wav,mas respondeu o seu telespectador eu não posso ser
audio_10302.wav,de uma maneira direta né primeiro
audio_10304.wav,seu babaca
audio_10306.wav,aquela inflação de janeiro e fevereiro daquele daquele ano dava
audio_10307.wav,de fazer alguma reorientação na campanha
audio_10308.wav,batismo mas estava errado sabia
audio_10309.wav,pública Ministro do trabalho e chefe do gabinete civil denuncia
audio_1031.wav,só quem sabe são os meus filhos estavam ali e também não tinha como
audio_10310.wav,categorias os dois
audio_10311.wav,aí eu sem querer cara eu mexendo assim o celular ele tem um problema eu consegui seu
audio_10312.wav,para trabalhar hoje
audio_10313.wav,foi uma festa ecológica né
audio_10314.wav,pode dar Band né não a gente não mas que loucura hein cara você tá tão cedo aí
audio_10316.wav,tragada engolida pelo monstro que eles criaram chamado bolsonaro certo
audio_10317.wav,ele mexe
audio_10318.wav,ia quebrar para todo mundo e não queremos isso metade deles me
audio_10319.wav,tá na luta de qualquer maneira pensava dessa maneira mude
audio_1032.wav,poucas semanas onde por
audio_10320.wav,30 minutos
audio_10321.wav,viveu uma série de acusações
audio_10322.wav,[Erro] Não foi possível transcrever o áudio
audio_10323.wav,[Erro] Não foi possível transcrever o áudio
audio_10324.wav,ora uma empresa que vai
audio_10326.wav,você precisa permitir que as pessoas
audio_10328.wav,eu não vou me desculpe em ter estragado tudo
audio_10329.wav,favor gente não precisa puxar tudo
audio_1033.wav,na verdade você deu a resposta que eu ia dar quando você disse
audio_10330.wav,você vai ver a coisa mais
audio_10331.wav,[Erro] Não foi possível transcrever o áudio
audio_10332.wav,[Erro] Não foi possível transcrever o áudio
audio_10334.wav,universo semântico seu se é isso que o senhor quer dizer é bom então vamos
audio_10335.wav,mais pobre mas daí a
audio_10336.wav,problema de toda classe trabalhadora e hoje com o outro pacote
audio_10337.wav,quem é o ministro da economia do Senhor com quem que o senhor vai nomear para o ministério da economia cara
audio_10338.wav,fala do que houve Eu não conheço nesse Senhor
audio_10339.wav,insetos como esse de moradia Popular como que você pretende
audio_1034.wav,posso te contar nossa história o Partido Comunista
audio_10340.wav,diferenciada
audio_10341.wav,é uma política
audio_10342.wav,[Erro] Não foi possível transcrever o áudio
audio_10343.wav,ele é um gostoso
audio_10344.wav,de problemas né Tem ver a questão com a com a
audio_10345.wav,que ganham muito e trabalha um pouco
audio_10346.wav,sete vezes foi enviado
audio_10347.wav,[Erro] Não foi possível transcrever o áudio
audio_10348.wav,se o Lula
audio_10349.wav,aí só pagando para ver
audio_1035.wav,[Erro] Não foi possível transcrever o áudio
audio_10350.wav,20 anos já eu fiz uma opção
audio_10351.wav,nas instruções uma hora eu tô de bruço segurando as
audio_10352.wav,tradicional e também com as possibilidades que a tecnologia nos
audio_10353.wav,agenda da Faria Lima é o centro
audio_10354.wav,[Erro] Não foi possível transcrever o áudio
audio_10355.wav,portanto nesse momento esses materializa a partir da construção da
audio_10356.wav,tentando um pouco mais
audio_10357.wav,dentro da campanha
audio_10358.wav,[Erro] Não foi possível transcrever o áudio
audio_10359.wav,valores do bolsonaro mas
audio_1036.wav,Obrigada prazer estar ordinário Estamos chegando ao
audio_10360.wav,eu quero
audio_10361.wav,eu queria
audio_10362.wav,porque eu fiz uma reportagem
audio_10363.wav,[Erro] Não foi possível transcrever o áudio
audio_10364.wav,a partir do momento
audio_10365.wav,[Erro] Não foi possível transcrever o áudio
audio_10366.wav,ainda nessa linha
audio_10367.wav,levantou recentemente na Argentina e no Uruguai a causa do
audio_10368.wav,movimento sindical que é preciso quando
audio_10369.wav,tratamento
audio_1037.wav,esse messenger antes me me
audio_10370.wav,isso vai fazer com que a indústria automobilística sofra muito
audio_10371.wav,luta com uma gazela eu fui
audio_10372.wav,eu preciso fazer muitas concessões na verdade na negociação com PSDB
audio_10373.wav,difícil na sua carta eu já tô
audio_10374.wav,não sei quando vier no microfone
audio_10375.wav,bolivariano
audio_10376.wav,tão religiosa esse esse eleitor Talvez esteja priorizando
audio_10377.wav,defende isso a gente
audio_10378.wav,calabresa
audio_10379.wav,não só para agora para o que tá sendo
audio_1038.wav,[Erro] Não foi possível transcrever o áudio
audio_10380.wav,sua excelência o Senhor Fernando Henrique é
audio_10381.wav,e o Fábio tá tranquilo e eu bem e eu lembro
audio_10382.wav,dá para dizer uma palavra ele falou não
audio_10383.wav,dada a dimensão política do Lula tamanho que o Lula tem
audio_10384.wav,agora quando
audio_10385.wav,Flávia Alessandra e
audio_10386.wav,ele falou assim Então canta e Fuscão Preto você é feito de
audio_10387.wav,[Erro] Não foi possível transcrever o áudio
audio_10388.wav,de toda uma faixa de terras que pode ser ocupada no momento
audio_10389.wav,porque a gente tem aliás é um ótimo debate para a gente fazer
audio_1039.wav,para anular a sessão de 2 de abril de 64
audio_10390.wav,Por que a gente quer
audio_10391.wav,agenda o senhor vai tentar pregar para o Supremo com relação
audio_10392.wav,eu tenho aqui uma
audio_10393.wav,Roda Viva o programa de entrevistas e debates
audio_10394.wav,aqui tu não acompanhou o Ronaldinho
audio_10395.wav,pura mas de
audio_10396.wav,eu gostaria de saber o
audio_10397.wav,primeira pesquisa do segundo turno Guilherme
audio_10398.wav,composto de representantes de vários
audio_10399.wav,conjunto de ideia de
audio_104.wav,eu sou uma
audio_10400.wav,nova sobre
audio_10401.wav,liberdade de imprensa para saber se tinha corrupção ou não na
audio_10402.wav,complemento o seguinte
audio_10403.wav,tô preocupado de falar e depois eu
audio_10404.wav,o que a pílula
audio_10405.wav,jogos da Juventus a Juventus é a pior campanha em 40 anos
audio_10406.wav,ela disse que os atos de corrupção
audio_10407.wav,presidencial vai ser eleito
audio_10408.wav,como é que era os jogos dessa peça Olimpíadas de improviso
audio_10409.wav,particular que meu marido
audio_1041.wav,proibiu o povo de comprar pelo que eu li
audio_10411.wav,na minha bolsa eu te passo ele
audio_10412.wav,uma coisa como é que você acredita é o Brasil tem os seus compromissos né tem a sua
audio_10413.wav,conta para o presidente
audio_10414.wav,do Brasil tem que parar de ir para o TW
audio_10415.wav,Cachoeira do partido dele descoberto olha
audio_10416.wav,estatísticas
audio_10417.wav,voltando à questão
audio_10418.wav,completo do Sindicato de Santo André e se tivesse ido
audio_10419.wav,[Erro] Não foi possível transcrever o áudio
audio_10420.wav,E aí decidi o que que vai fazer com essa dívida externa eu penso
audio_10421.wav,o primeiro turno nem uma única propo
audio_10422.wav,toda a mesma da mesma resposta
audio_10423.wav,tá no banco para soltar o
audio_10425.wav,[Erro] Não foi possível transcrever o áudio
audio_10426.wav,tá ocupando a minha cabeça
audio_10427.wav,[Erro] Não foi possível transcrever o áudio
audio_10428.wav,quando você mexe no celular Enquanto carrega
audio_10429.wav,e fora da gramática
audio_1043.wav,vamos lá vamos lá vamos lá o tratamento
audio_10430.wav,sempre com o presidente Lula quando podíamos
audio_10431.wav,de reagir quando
audio_10432.wav,[Erro] Não foi possível transcrever o áudio
audio_10433.wav,era isso era programação do part
audio_10434.wav,ciência Portuguesa e ele era se eu não me engano naquela época o quarto homem mais rico do
audio_10435.wav,quero governar para o grosso da população para todos ou para a grande maioria mas o
audio_10436.wav,o que ela fez de
audio_10437.wav,todos os países é Alemanha oriental é a Polônia Cuba Nicarágua qual dele
audio_10438.wav,o champinha que estu
audio_10439.wav,não aceitar o argumento
audio_1044.wav,you have
audio_10440.wav,ao fazer isso semeou o ovo da
audio_10441.wav,viajaram ou não você pode viajar e o meu direito como Cida
audio_10442.wav,filho Nova York abraça
audio_10443.wav,Mel Para comprovar né obras em geral Então qual que eu acho que a reflexão
audio_10444.wav,congresso e botar aquela gravata e lá negociar com
audio_10445.wav,tira do vagabundo
audio_10446.wav,pequeno
audio_10447.wav,crítica nesse sentido ou você acha
audio_10448.wav,pela tra
audio_10449.wav,uma vez
audio_1045.wav,bom tá dando horário amanhecendo vamos pegar o voo
audio_10450.wav,disse que
audio_10451.wav,os seus filhos é democrático verdadeiro um país em que eu posso
audio_10452.wav,Lula
audio_10453.wav,de que o tiro não partiu de carro coisa nenhuma de que foi a própria polícia
audio_10454.wav,e que
audio_10455.wav,[Erro] Não foi possível transcrever o áudio
audio_10456.wav,há de fazer justiça ao ex-presidente Lula aí faz o trf4
audio_10457.wav,você pegar os números do jogador ver que o jogador faz na temporada depois você passou
audio_10458.wav,[Erro] Não foi possível transcrever o áudio
audio_10459.wav,Ciência e Tecnologia o senhor fez greve
audio_1046.wav,do ponto de vista de
audio_10460.wav,os mesmos direitos
audio_10461.wav,jamais
audio_10462.wav,cerveja na medida em que o Eduardo parou na medida em que o Eduardo parou e quando eu disse que
audio_10463.wav,170 e poucos só tem apenas 270 não tem problema você tem apenas dois
audio_10464.wav,ver né na semana passada nós tivemos uma decisão
audio_10465.wav,estado democrático de direito relativiza em determina
audio_10466.wav,tem um décimo terceiro os trabalhadores brasileiros conhecem a CLT infelizmente
audio_10467.wav,foi para o Rio Grande do Sul e lá foi desenvolvida na Universidade Federal
audio_10468.wav,então para o imposto de renda que deve tá assistindo
audio_10469.wav,da maneira que você tá colocando é
audio_1047.wav,pacote econômico Tem cada sindicato fizer isso
audio_10471.wav,que não nós não somos Incor
audio_10472.wav,ficar de mal com superiores resolver escrever essas questões agora
audio_10473.wav,você acha que ele vai dar 40 horas não
audio_10474.wav,isso isso
audio_10475.wav,e achavam engraçada
audio_10476.wav,ele com certeza deve contar essa história
audio_10477.wav,[Erro] Não foi possível transcrever o áudio
audio_10478.wav,ou você tá defendendo mais
audio_10479.wav,muito duro
audio_1048.wav,dia eu recebo uma ligação
audio_10480.wav,Tom pastel não tem
audio_10481.wav,o Raimundo obrigado
audio_10484.wav,o governo do seu estado que você foi bem votado e tal no entanto
audio_10485.wav,aqui na televisão
audio_10486.wav,deputada
audio_10487.wav,eu não tinha o número é 7000
audio_10488.wav,otimizar essa fantástica
audio_10489.wav,as minhas avós eram
audio_1049.wav,Manuela d'Ávila vamos agora uma pergunta
audio_10490.wav,que há muitos anos debate a construção de um projeto
audio_10491.wav,no passado não faria de novo que o senhor mudo
audio_10492.wav,o teto do fundo eleitoral que o Part
audio_10493.wav,mentiroso
audio_10494.wav,as cozinhas solidárias não vai andar nem um centímetro né
audio_10495.wav,no tocante economia quantas vezes eu falei para ele Paulo tua proposta maravilhosa
audio_10496.wav,menor ali do outro lado eu vou voltar aqui
audio_10497.wav,esse amigo
audio_10498.wav,aquela coisa de abrir o alçapão você
audio_10499.wav,Como que o PT pro
audio_105.wav,sua filha dele falou mano
audio_10500.wav,não tinha nenhum nome já rolaram eu não minto
audio_10501.wav,Negra Então eu acho que da mesma forma que existe
audio_10503.wav,é barraca é colchão a gente jogada na calçada em cima de papelão
audio_10504.wav,mais próximo para mim né
audio_10505.wav,gostaria de passar pré-história
